Count	Full_date	Port	Ship
473	01/01/1918	Bordeaux	Espagne
61	01/01/1918	Liverpool	Denis
58	01/01/1918	Santos, Rio de Janeiro, San Juan	Saga
43	01/01/1918	Bordeaux, France	Saint Jean
34	01/01/1918	Bordeaux Via Plymouth	Collingham
30	01/01/1918	Bordeaux, France	Espagne
24	01/01/1918	Bahia, Brazil	San Mateo
19	01/01/1918	Nuevitas, Cuba	Aggersborg
17	01/01/1918	Rio de Janeiro	Saga
4	01/01/1918	Santos	Saga
1	01/01/1918	Bahia	San Mateo
553	01/02/1918	Liverpool	Baltic
38	01/02/1918	Plymouth	Miguel de Larrinaga
32	01/02/1918	Buenos Aires	Senta
32	01/02/1918	Havana	Morro Castle
31	01/02/1918	Victoria	Christian Bors
4	01/02/1918	Havana	Zacapa
1	01/02/1918	Port Limon, Costa Rica	Zacapa
56	01/03/1918	Dakar and West Coast Africa	Egba
52	01/03/1918	Bombay	City of Adelaide
46	01/03/1918	Havre	Breiz Izel
37	01/03/1918	San Juan, Puerto Rico	Philadelphia (1885)
30	01/03/1918	Bombay Via Cape & W.I.	City of Adelaide
21	01/03/1918	Amsterdam	Delta
10	01/03/1918	Curacao, DWI	Philadelphia (1885)
4	01/03/1918	Tampico, Mexico	Harry Farnum
4	01/03/1918	La Guaira, Venezuela	Philadelphia (1885)
1	01/03/1918	Puerto Cabello, Venezuela	Philadelphia (1885)
266	01/04/1918	Liverpool	Carpathia
102	01/04/1918	Hamilton, Bermuda	Cascapedia
51	01/04/1918	Liverpool	Cuthbert
26	01/04/1918	Stavanger, Norway	Salonica
23	01/04/1918	Puerto Colombia via Cristobal	Santa Marta
23	01/04/1918	Puerto Rico	Times
19	01/04/1918	St. John's, Newfoundland	Harmony
17	01/04/1918	Santiago, Cuba	Eika III
12	01/04/1918	Cristobal, Canal Zone	Santa Marta
5	01/04/1918	Kingston	Santa Marta
4	01/04/1918	Puerto Colombia, Colombia	Santa Marta
1	01/04/1918	Santa Marta, Colombia	Santa Marta
226	01/05/1918	Buenos Aires	Vestris
204	01/05/1918	Buenos Aires, Argentina	Vestris
45	01/05/1918	Rio de Janeiro, Brazil	Vestris
43	01/05/1918	Rio de Janeiro	Vestris
42	01/05/1918	Matanzas, Cuba	Olinda
40	01/05/1918	Naval Base	Delaware
40	01/05/1918	Spezia, Italy	Lampo
39	01/05/1918	Ardrossan, Scotland	Lackawanna
36	01/05/1918	Barbados, British West Indies	Vestris
35	01/05/1918	Para, Brazil	Tela
30	01/05/1918	Bordeaux	Mars
29	01/05/1918	Cap Haitien, Haiti	Georgeanna Weems
27	01/05/1918	Cape Town, South Africa	Anten
2	01/05/1918	Calcutta, India	Anten
1	01/05/1918	Iquique, Chile	Texan
1	01/05/1918	Amsterdam	Gooiland
1	01/05/1918	Santa Marta via Norfolk	Sosua
74	01/06/1918	Yokohama, Japan	Tosa Maru
67	01/06/1918	Algiers, Algeria	Merton Hall
30	01/06/1918	River Tyne	Cadillac
30	01/06/1918	River Tyne, W. Shields, Eng.	Cadillac
18	01/06/1918	Puerto Colombia, Colombia	Rimfaxe
12	01/06/1918	River Tyne, No. Shields., Eng.	Cadillac
10	01/06/1918	Parrsboro, Nova Scotia	E.H. Wharton Davis
148	01/07/1918	Genoa	Duca di Genova
77	01/07/1918	San Juan, Puerto Rico	Carolina
69	01/07/1918	Cristobal, Canal Zone	Panama
66	01/07/1918	United States	Eurybates
54	01/07/1918	Bordeaux	Anglo Saxon
38	01/07/1918	Buenos Aires, Montevideo, & St. Lucia	Arna
33	01/07/1918	Reykjavik, Iceland	Island
30	01/07/1918	Seville, Spain	Cabo Cervera
29	01/07/1918	Kingston, Jamaica	Manchioneal
17	01/07/1918	NA	Gwyder Castle
8	01/07/1918	Bordeaux	City of Puebla
4	01/07/1918	Port Au Prince, Haiti	Panama
4	01/07/1918	St. Marc, Haiti	Panama
2	01/07/1918	Cristobal, C.Z. via St. Marc, Haiti	Panama
1	01/07/1918	Cristobal, Canal Zone	Advance
33	01/08/1918	Cristobal, Canal Zone	Texas
29	01/08/1918	Huelva, Spain	O.A. Knudsen
24	01/08/1918	Havana, Cuba	Carrillo
24	01/08/1918	Buenos Aires, Argentina	Nordamerika
2	01/08/1918	Mejillones, Chile	Texas
1	01/08/1918	Archangel, Russia	Nassovia
116	01/09/1918	Liverpool	Vasari
60	01/09/1918	Grenada, British West Indies	Maraval
34	01/09/1918	Sierra Leone, West Africa	Shonga
33	01/09/1918	Buenos Aires	Rio de Janeiro
33	01/09/1918	Havana	Mexico
32	01/09/1918	Genova via Hampton Roads	Reidar
20	01/09/1918	Trinidad, British West Indies	Svealand
14	01/09/1918	Havana, Cuba	Mexico
8	01/09/1918	Roatan, Honduras	M.A. Belliveau
6	01/09/1918	Georgetown, Demerara	Maraval
5	01/09/1918	Antilla, Cuba	Munamar
1	01/09/1918	Rotterdam, Holland	Shonga
1	01/09/1918	Nuevitas, Cuba	Munamar
62	01/10/1918	Halifax	Florizel
27	01/10/1918	St. John's, Newfoundland	Florizel
27	01/10/1918	Buenos Aires	Skogland
25	01/10/1918	La Pallice, France	Blaamyra
24	01/10/1918	Port Antonio, Jamaica	Nicholas Cuneo
21	01/10/1918	Bayres via Norfolk, Va.	Asgerd
19	01/10/1918	Cristobal, Canal Zone	Allianca
18	01/10/1918	Santa Cruz, Cuba	Ryvarden
16	01/10/1918	Fayal, Azores	Pharos
2	01/10/1918	Cristobal, Canal Zone	Kilpatrick
2	01/10/1918	Aalborg, Denmark	Pharos
43	01/11/1918	Genoa	Tweeddale
22	01/11/1918	Rotterdam via Cardiff	General Consul Pallisen
16	01/11/1918	Kingston	Metapan
15	01/11/1918	Cristobal, Canal Zone	Metapan
5	01/11/1918	Puerto Colombia, Colombia	Metapan
2	01/11/1918	Haiti	Augustus H. Babcock
51	01/12/1918	Glasgow	Liberia
51	01/12/1918	West Indies	Korona
44	01/12/1918	Rotterdam, Holland	Ausable
38	01/12/1918	Liverpool	Strathfillan
31	01/12/1918	Bordeaux, France	Anglo Mexican
22	01/12/1918	Rio de Janeiro	Trafalgar
17	01/12/1918	Bordeaux	Anglo Mexican
13	01/12/1918	Vera Cruz, Mexico	Esperanza
12	01/12/1918	Havana	Esperanza
12	01/12/1918	St. Kitts, B.W.I.	Korona
9	01/12/1918	Progreso, Yucatan, Mexico	Esperanza
6	01/12/1918	Monte Cristi	Algonquin
4	01/12/1918	Antigua, British West Indies	Korona
3	01/12/1918	Puerto Plata, Dominican Republic	Algonquin
3	01/12/1918	Tampico, Mexico	Esperanza
2	01/12/1918	Nassau, Bahamas	Esperanza
2	01/12/1918	Barbados, British West Indies	Korona
2	01/12/1918	Demerara, British West Indies	Korona
1	01/12/1918	Santo Domingo	Algonquin
1	01/12/1918	Turks Island, British West Indies	Algonquin
1	01/12/1918	St. Thomas, Virgin Islands	Korona
50	01/13/1918	Havre, France	Randwijk
48	01/13/1918	Boness	Silverlip
45	01/13/1918	Portland	Pinemore
31	01/13/1918	Bordeaux, France	Southerndown
17	01/13/1918	Montevideo, Uraguay	Crofton Hall
16	01/13/1918	Rosyth, Scotland	Silverlip
5	01/13/1918	Bordeaux	Southerndown
2	01/13/1918	Furness Withy	Pinemore
1	01/13/1918	Bordeaux	Pinemore
46	01/14/1918	San Juan, Puerto Rico	Coamo
38	01/14/1918	Rotterdam, Holland	Escaut
35	01/14/1918	Gothenburg, Sweden	Atland
21	01/14/1918	Puerto, Mexico	Jomsborg
21	01/14/1918	Buenos Aires & Montevideo	Norden
2	01/14/1918	Cristobal, Canal Zone	General H.F. Hodges
2	01/14/1918	Buenos Aires and Montevideo	Norden
1	01/14/1918	Tampico, Mexico	Comet
529	01/15/1918	Liverpool	Saint Louis
194	01/15/1918	Barcelona	Antonio Lopez
194	01/15/1918	Barcelona	Antonio Lopez
129	01/15/1918	Valencia, Spain	Antonio Lopez
129	01/15/1918	Valencia, Spain	Antonio Lopez
52	01/15/1918	Manchester, England	Tennyson
49	01/15/1918	Cadiz	Antonio Lopez
49	01/15/1918	Cadiz	Antonio Lopez
23	01/15/1918	Cardenas, Cuba	Orita
11	01/15/1918	Curacao, DWI	Zulia
10	01/15/1918	Mayaguez, Puerto Rico	Zulia
6	01/15/1918	Almeria, Spain	Antonio Lopez
6	01/15/1918	Almeria, Spain	Antonio Lopez
4	01/15/1918	Liverpool	Minnesota
2	01/15/1918	Malaga, Spain	Antonio Lopez
2	01/15/1918	Malaga, Spain	Antonio Lopez
1	01/15/1918	Cardenas, Cuba	Erik II
1	01/15/1918	Santo Domingo	Yuma
479	01/16/1918	Bordeaux	Niagara
138	01/16/1918	Newcastle, England via Halifax	Czaritza
32	01/16/1918	Philadelphia, Pennsylvania	California
31	01/16/1918	Bristol	Wells City
26	01/16/1918	Pernambuco, Brazil	Tungus
22	01/16/1918	Tquiqui, Chile	Frednes
363	01/17/1918	Liverpool	Tuscania
80	01/17/1918	Hamilton, Bermuda	Cascapedia
70	01/17/1918	Havana	Morro Castle
48	01/17/1918	Venzuela and Curacao	Caracas
38	01/17/1918	Nantes, France	Jeanne Marie
31	01/17/1918	Bilbas	Mar Negro
25	01/17/1918	Rotterdam, Holland	Adolf Deppe
23	01/17/1918	Victoria (Brazil)	Anglia
19	01/17/1918	Bergen, Norway	Landvard
17	01/17/1918	San Juan, Puerto Rico	Caracas
14	01/17/1918	Birger, Norway	Landvard
6	01/17/1918	Puerto Cabello, Venezuela	Caracas
5	01/17/1918	Curacao, DWI	Caracas
5	01/17/1918	La Guaira, Venezuela	Caracas
1	01/17/1918	Nassau, Bahamas	Morro Castle
135	01/18/1918	New Castle	Czar
125	01/18/1918	Glasgow	Castalia
42	01/18/1918	Cristobal, Canal Zone	Colon
37	01/18/1918	Rotterdam, Holland	Liege
32	01/18/1918	Rotterdam Via St. Johns N.F.	Baron Baeyens
20	01/18/1918	Buenos Aires	T.M. Werner
12	01/18/1918	Liverpool	Manchuria
9	01/18/1918	Rotterdam, Holland	Manitowoc
175	01/19/1918	Valparaiso, Chile	Orita
73	01/19/1918	Tilbury Docks, London, England	Michigan
52	01/19/1918	Rotterdam, Holland	Bjornstjerne Bjornson
49	01/19/1918	Saint Lucia	City of Madrid
41	01/19/1918	Havre, France via Plymouth	Pendragon Castle
21	01/19/1918	Samana, Haiti	Meta
18	01/19/1918	Colombo Via Saint Lucia	City of Madrid
17	01/19/1918	Bergen	Bjornstjerne Bjornson
17	01/19/1918	United States	Michigan
1	01/19/1918	Samana	Meta
566	01/20/1918	Liverpool	Adriatic
319	01/20/1918	Liverpool	Philadelphia
67	01/20/1918	West Indies	Guiana
11	01/20/1918	St. Thomas, Virgin Islands	Guiana
10	01/20/1918	Demerara, British West Indies	Guiana
4	01/20/1918	Antigua, British West Indies	Guiana
4	01/20/1918	Barbados, British West Indies	Guiana
4	01/20/1918	St. Kitts, B.W.I.	Guiana
3	01/20/1918	Guadalupe, French West Indies	Guiana
